dataset,method,advanced_task,cache_policy,cache_nodes,L,beamwidth,threads,recall_at_10,qps,mean_latency_us,p95_latency_us,p99_latency_us,p999_latency_us,mean_ios,mean_io_us,io_time_ratio_pct,non_io_us,non_io_time_ratio_pct,max_rss_mb,index_size_mb,cache_size_mb,trace_queries,eval_queries,log,git_commit,notes
sift1m,hot,T2_cache,hot_freq,10000,120,4,4,0.9861,356.95,11118.28,,,29518.0,123.69,10225.03,91.97,893.25,8.03,0,822.37,7.32,200,800,hot_K10000_L120.log,78256bba,
sift1m,hot,T2_cache,hot_freq,10000,40,4,4,0.9384999999999999,1011.81,3909.01,,,6218.0,47.66,3640.22,93.12,268.79,6.88,0,822.37,7.32,200,800,hot_K10000_L40.log,78256bba,
sift1m,hot,T2_cache,hot_freq,10000,80,4,4,0.9762000000000001,543.85,7294.02,,,13063.0,85.2,6759.61,92.67,534.41,7.33,0,822.37,7.32,200,800,hot_K10000_L80.log,78256bba,
sift1m,hot,T2_cache,hot_freq,3000,120,4,4,0.9861,375.11,10570.89,,,14616.0,125.61,9829.37,92.99,741.52,7.01,0,822.37,2.2,200,800,hot_K3000_L120.log,78256bba,
sift1m,hot,T2_cache,hot_freq,3000,40,4,4,0.9384999999999999,927.03,4260.23,,,7244.0,48.74,3941.98,92.53,318.25,7.47,0,822.37,2.2,200,800,hot_K3000_L40.log,78256bba,
sift1m,hot,T2_cache,hot_freq,3000,80,4,4,0.9762000000000001,549.08,7213.15,,,12585.0,86.68,6689.46,92.74,523.69,7.26,0,822.37,2.2,200,800,hot_K3000_L80.log,78256bba,
sift1m,hot,T2_cache,hot_freq,5000,120,4,4,0.9861,382.39,10392.51,,,17818.0,125.08,9689.39,93.23,703.12,6.77,0,822.37,3.66,200,800,hot_K5000_L120.log,78256bba,
sift1m,hot,T2_cache,hot_freq,5000,40,4,4,0.9384999999999999,892.86,4424.72,,,9835.0,48.45,4105.85,92.79,318.87,7.21,0,822.37,3.66,200,800,hot_K5000_L40.log,78256bba,
sift1m,hot,T2_cache,hot_freq,5000,80,4,4,0.9762000000000001,570.97,6952.49,,,9639.0,86.27,6489.45,93.34,463.04,6.66,0,822.37,3.66,200,800,hot_K5000_L80.log,78256bba,
sift1m,hybrid,T2_cache,hybrid_a00,10000,120,4,4,0.9861,318.34,12463.38,,,23297.0,123.69,11484.14,92.14,979.24,7.86,0,822.37,7.32,200,800,hybrid_a00_L120.log,78256bba,
sift1m,hybrid,T2_cache,hybrid_a00,10000,40,4,4,0.9384999999999999,931.91,4236.32,,,9556.0,47.66,3928.28,92.73,308.04,7.27,0,822.37,7.32,200,800,hybrid_a00_L40.log,78256bba,
sift1m,hybrid,T2_cache,hybrid_a00,10000,80,4,4,0.9762000000000001,532.47,7443.76,,,11239.0,85.2,6871.04,92.31,572.72,7.69,0,822.37,7.32,200,800,hybrid_a00_L80.log,78256bba,
sift1m,hybrid,T2_cache,hybrid_a03,10000,120,4,4,0.9861,391.59,10139.07,,,13992.0,123.07,9428.76,92.99,710.31,7.01,0,822.37,7.32,200,800,hybrid_a03_L120.log,78256bba,
sift1m,hybrid,T2_cache,hybrid_a03,10000,40,4,4,0.9384999999999999,912.07,4318.15,,,8067.0,46.79,3945.08,91.36,373.07,8.64,0,822.37,7.32,200,800,hybrid_a03_L40.log,78256bba,
sift1m,hybrid,T2_cache,hybrid_a03,10000,80,4,4,0.9762000000000001,567.46,6991.75,,,10207.0,84.45,6481.78,92.71,509.97,7.29,0,822.37,7.32,200,800,hybrid_a03_L80.log,78256bba,
sift1m,hybrid,T2_cache,hybrid_a05,10000,120,4,4,0.9861,387.71,10227.3,,,15243.0,123.07,9466.33,92.56,760.97,7.44,0,822.37,7.32,200,800,hybrid_a05_L120.log,78256bba,
sift1m,hybrid,T2_cache,hybrid_a05,10000,40,4,4,0.9384999999999999,1021.58,3876.52,,,9761.0,46.67,3606.81,93.04,269.71,6.96,0,822.37,7.32,200,800,hybrid_a05_L40.log,78256bba,
sift1m,hybrid,T2_cache,hybrid_a05,10000,80,4,4,0.9762000000000001,535.54,7408.21,,,15018.0,84.37,6847.32,92.43,560.89,7.57,0,822.37,7.32,200,800,hybrid_a05_L80.log,78256bba,
sift1m,hybrid,T2_cache,hybrid_a07,10000,120,4,4,0.9861,361.96,10964.63,,,17315.0,123.21,10110.41,92.21,854.22,7.79,0,822.37,7.32,200,800,hybrid_a07_L120.log,78256bba,
sift1m,hybrid,T2_cache,hybrid_a07,10000,40,4,4,0.9384999999999999,1010.95,3910.38,,,6304.0,46.62,3609.95,92.32,300.43,7.68,0,822.37,7.32,200,800,hybrid_a07_L40.log,78256bba,
sift1m,hybrid,T2_cache,hybrid_a07,10000,80,4,4,0.9762000000000001,579.29,6842.37,,,8951.0,84.41,6371.53,93.12,470.84,6.88,0,822.37,7.32,200,800,hybrid_a07_L80.log,78256bba,
sift1m,hybrid,T2_cache,hybrid_a10,10000,120,4,4,0.9861,387.85,10228.97,,,16860.0,123.8,9474.38,92.62,754.59,7.38,0,822.37,7.32,200,800,hybrid_a10_L120.log,78256bba,
