dataset,method,advanced_task,cache_policy,cache_nodes,L,beamwidth,threads,recall_at_10,qps,mean_latency_us,p95_latency_us,p99_latency_us,p999_latency_us,mean_ios,mean_io_us,io_time_ratio_pct,non_io_us,non_io_time_ratio_pct,max_rss_mb,index_size_mb,cache_size_mb,trace_queries,eval_queries,log,git_commit,notes,reorder_mode,cache_mode,prefetch_lite
random10k,static_bfs_orig,T_real_reorder,bfs,0,120,2,1,0.7739,94.87,10497.38,,,53218.0,121.06,9970.47,94.98,526.91,5.02,0,6.8,0,0,1000,orig_L120_W2.log,78256bba,Round 2 real implementation on random10k,none,node,off
random10k,static_bfs_orig,T_real_reorder,bfs,0,120,4,1,0.7752,141.62,7019.76,,,22735.0,121.69,6554.31,93.37,465.45,6.63,0,6.8,0,0,1000,orig_L120_W4.log,78256bba,Round 2 real implementation on random10k,none,node,off
random10k,static_bfs_orig,T_real_reorder,bfs,0,120,8,1,0.7781,191.72,5172.45,,,25246.0,123.42,4675.51,90.39,496.94,9.61,0,6.8,0,0,1000,orig_L120_W8.log,78256bba,Round 2 real implementation on random10k,none,node,off
random10k,static_bfs_orig,T_real_reorder,bfs,0,40,2,1,0.5975,270.79,3658.82,,,10781.0,42.4,3474.35,94.96,184.47,5.04,0,6.8,0,0,1000,orig_L40_W2.log,78256bba,Round 2 real implementation on random10k,none,node,off
random10k,static_bfs_orig,T_real_reorder,bfs,0,40,4,1,0.6053999999999999,353.45,2796.25,,,8227.0,43.96,2624.81,93.87,171.44,6.13,0,6.8,0,0,1000,orig_L40_W4.log,78256bba,Round 2 real implementation on random10k,none,node,off
random10k,static_bfs_orig,T_real_reorder,bfs,0,40,8,1,0.6221,498.86,1974.44,,,7911.0,47.54,1809.27,91.63,165.17,8.37,0,6.8,0,0,1000,orig_L40_W8.log,78256bba,Round 2 real implementation on random10k,none,node,off
random10k,static_bfs_orig,T_real_reorder,bfs,0,80,2,1,0.7104,129.89,7657.25,,,210523.0,81.43,7282.57,95.11,374.68,4.89,0,6.8,0,0,1000,orig_L80_W2.log,78256bba,Round 2 real implementation on random10k,none,node,off
random10k,static_bfs_orig,T_real_reorder,bfs,0,80,4,1,0.7125,217.31,4565.26,,,130196.0,82.3,4269.85,93.53,295.41,6.47,0,6.8,0,0,1000,orig_L80_W4.log,78256bba,Round 2 real implementation on random10k,none,node,off
random10k,static_bfs_orig,T_real_reorder,bfs,0,80,8,1,0.7214,296.57,3335.42,,,8699.0,84.91,3038.52,91.1,296.9,8.9,0,6.8,0,0,1000,orig_L80_W8.log,78256bba,Round 2 real implementation on random10k,none,node,off
random10k,bfs_cache_reord,T_real_reorder,bfs,1000,120,2,1,0.7739,195.26,5084.52,,,18243.0,43.8,4635.66,91.17,448.86,8.83,0,6.8,0.6142,0,1000,r10k_bacoff_L120_W2.log,78256bba,Round 2 real implementation on random10k,real,node,off
random10k,bfs_cache_reord,T_real_reorder,bfs,1000,120,4,1,0.7752,263.19,3764.78,,,12319.0,43.97,3345.87,88.87,418.91,11.13,0,6.8,0.6142,0,1000,r10k_bacoff_L120_W4.log,78256bba,Round 2 real implementation on random10k,real,node,off
random10k,bfs_cache_reord,T_real_reorder,bfs,1000,120,8,1,0.7781,353.13,2796.75,,,8242.0,44.04,2386.33,85.33,410.42,14.67,0,6.8,0.6142,0,1000,r10k_bacoff_L120_W8.log,78256bba,Round 2 real implementation on random10k,real,node,off
random10k,bfs_cache_reord,T_real_reorder,bfs,1000,40,2,1,0.5975,620.33,1582.71,,,7258.0,12.78,1428.41,90.25,154.3,9.75,0,6.8,0.6142,0,1000,r10k_bacoff_L40_W2.log,78256bba,Round 2 real implementation on random10k,real,node,off
random10k,bfs_cache_reord,T_real_reorder,bfs,1000,40,4,1,0.6053999999999999,829.84,1180.64,,,24428.0,13.0,1040.68,88.15,139.96,11.85,0,6.8,0.6142,0,1000,r10k_bacoff_L40_W4.log,78256bba,Round 2 real implementation on random10k,real,node,off
random10k,bfs_cache_reord,T_real_reorder,bfs,1000,40,8,1,0.6221,1131.96,860.96,,,3206.0,12.86,721.46,83.8,139.5,16.2,0,6.8,0.6142,0,1000,r10k_bacoff_L40_W8.log,78256bba,Round 2 real implementation on random10k,real,node,off
random10k,bfs_cache_reord,T_real_reorder,bfs,1000,80,2,1,0.7104,334.99,2953.07,,,11484.0,27.72,2670.29,90.42,282.78,9.58,0,6.8,0.6142,0,1000,r10k_bacoff_L80_W2.log,78256bba,Round 2 real implementation on random10k,real,node,off
random10k,bfs_cache_reord,T_real_reorder,bfs,1000,80,4,1,0.7125,395.52,2496.44,,,12755.0,27.86,2216.27,88.78,280.17,11.22,0,6.8,0.6142,0,1000,r10k_bacoff_L80_W4.log,78256bba,Round 2 real implementation on random10k,real,node,off
random10k,bfs_cache_reord,T_real_reorder,bfs,1000,80,8,1,0.7214,510.07,1926.9,,,13129.0,28.01,1627.34,84.45,299.56,15.55,0,6.8,0.6142,0,1000,r10k_bacoff_L80_W8.log,78256bba,Round 2 real implementation on random10k,real,node,off
random10k,bfs_cache_reord,T_real_reorder,bfs,1000,120,2,1,0.7739,182.11,5451.41,,,24121.0,43.8,4959.02,90.97,492.39,9.03,0,6.8,0.6142,0,1000,r10k_bacon_L120_W2.log,78256bba,Round 2 real implementation on random10k,real,block,off
random10k,bfs_cache_reord,T_real_reorder,bfs,1000,120,4,1,0.7752,256.47,3862.92,,,14625.0,43.97,3421.41,88.57,441.51,11.43,0,6.8,0.6142,0,1000,r10k_bacon_L120_W4.log,78256bba,Round 2 real implementation on random10k,real,block,off
random10k,bfs_cache_reord,T_real_reorder,bfs,1000,120,8,1,0.7781,354.79,2781.97,,,12207.0,44.04,2358.86,84.79,423.11,15.21,0,6.8,0.6142,0,1000,r10k_bacon_L120_W8.log,78256bba,Round 2 real implementation on random10k,real,block,off
random10k,bfs_cache_reord,T_real_reorder,bfs,1000,40,2,1,0.5975,651.94,1507.84,,,5771.0,12.78,1364.92,90.52,142.92,9.48,0,6.8,0.6142,0,1000,r10k_bacon_L40_W2.log,78256bba,Round 2 real implementation on random10k,real,block,off
random10k,bfs_cache_reord,T_real_reorder,bfs,1000,40,4,1,0.6053999999999999,870.43,1125.27,,,2625.0,13.0,989.71,87.95,135.56,12.05,0,6.8,0.6142,0,1000,r10k_bacon_L40_W4.log,78256bba,Round 2 real implementation on random10k,real,block,off
random10k,bfs_cache_reord,T_real_reorder,bfs,1000,40,8,1,0.6221,1060.82,918.02,,,3964.0,12.86,766.1,83.45,151.92,16.55,0,6.8,0.6142,0,1000,r10k_bacon_L40_W8.log,78256bba,Round 2 real implementation on random10k,real,block,off
random10k,bfs_cache_reord,T_real_reorder,bfs,1000,80,2,1,0.7104,297.17,3331.11,,,9570.0,27.72,3026.3,90.85,304.81,9.15,0,6.8,0.6142,0,1000,r10k_bacon_L80_W2.log,78256bba,Round 2 real implementation on random10k,real,block,off
random10k,bfs_cache_reord,T_real_reorder,bfs,1000,80,4,1,0.7125,345.71,2855.76,,,19409.0,27.86,2538.47,88.89,317.29,11.11,0,6.8,0.6142,0,1000,r10k_bacon_L80_W4.log,78256bba,Round 2 real implementation on random10k,real,block,off
