dataset,method,advanced_task,cache_policy,cache_nodes,L,beamwidth,threads,recall_at_10,qps,mean_latency_us,p95_latency_us,p99_latency_us,p999_latency_us,mean_ios,mean_io_us,io_time_ratio_pct,non_io_us,non_io_time_ratio_pct,max_rss_mb,index_size_mb,cache_size_mb,trace_queries,eval_queries,log,git_commit,notes,reorder_mode,cache_mode,prefetch_lite,n_node_io_requests,n_unique_sectors
random10k,bfs_cache_reord,T_real_reorder_v5,bfs,0,10,4,1,0.4011,1104.81,888.75,,,2000.0,15.26,838.11,94.3,50.64,5.7,0,6.8,0,0,1000,r10k_bacoff_K0_L10.log,78256bba,v5.1 real sector-dedup on random10k,real,node,off,15.41,15.26
random10k,bfs_cache_reord,T_real_reorder_v5,bfs,0,20,4,1,0.49420000000000003,729.34,1351.01,,,4345.0,24.8,1262.07,93.42,88.94,6.58,0,6.8,0,0,1000,r10k_bacoff_K0_L20.log,78256bba,v5.1 real sector-dedup on random10k,real,node,off,25.06,24.8
random10k,bfs_cache_reord,T_real_reorder_v5,bfs,0,40,4,1,0.6053999999999999,478.85,2066.33,,,10081.0,43.49,1925.88,93.2,140.45,6.8,0,6.8,0,0,1000,r10k_bacoff_K0_L40.log,78256bba,v5.1 real sector-dedup on random10k,real,node,off,43.96,43.49
random10k,bfs_cache_reord,T_real_reorder_v5,bfs,0,80,4,1,0.7125,257.77,3853.16,,,8183.0,81.46,3588.45,93.13,264.71,6.87,0,6.8,0,0,1000,r10k_bacoff_K0_L80.log,78256bba,v5.1 real sector-dedup on random10k,real,node,off,82.3,81.46
random10k,bfs_cache_reord,T_real_reorder_v5,bfs,1000,10,4,1,0.4011,3477.14,274.01,,,1306.0,2.59,235.31,85.88,38.7,14.12,0,6.8,0.6142,0,1000,r10k_bacoff_K1000_L10.log,78256bba,v5.1 real sector-dedup on random10k,real,node,off,2.6,2.59
random10k,bfs_cache_reord,T_real_reorder_v5,bfs,1000,20,4,1,0.49420000000000003,1591.71,609.74,,,5925.0,5.88,532.19,87.28,77.55,12.72,0,6.8,0.6142,0,1000,r10k_bacoff_K1000_L20.log,78256bba,v5.1 real sector-dedup on random10k,real,node,off,5.92,5.88
random10k,bfs_cache_reord,T_real_reorder_v5,bfs,1000,40,4,1,0.6053999999999999,731.02,1342.35,,,3607.0,12.91,1183.36,88.16,158.99,11.84,0,6.8,0.6142,0,1000,r10k_bacoff_K1000_L40.log,78256bba,v5.1 real sector-dedup on random10k,real,node,off,13.0,12.91
random10k,bfs_cache_reord,T_real_reorder_v5,bfs,1000,80,4,1,0.7125,355.2,2782.25,,,5412.0,27.68,2471.17,88.82,311.08,11.18,0,6.8,0.6142,0,1000,r10k_bacoff_K1000_L80.log,78256bba,v5.1 real sector-dedup on random10k,real,node,off,27.86,27.68
random10k,bfs_cache_reord,T_real_reorder_v5,bfs,0,10,4,1,0.4011,980.01,1001.91,,,2222.0,15.26,942.62,94.08,59.29,5.92,0,6.8,0,0,1000,r10k_bacon_K0_L10.log,78256bba,v5.1 real sector-dedup on random10k,real,block,off,15.41,15.26
random10k,bfs_cache_reord,T_real_reorder_v5,bfs,0,20,4,1,0.49420000000000003,688.05,1434.1,,,3735.0,24.8,1348.47,94.03,85.63,5.97,0,6.8,0,0,1000,r10k_bacon_K0_L20.log,78256bba,v5.1 real sector-dedup on random10k,real,block,off,25.06,24.8
